"","ay","age","amount","metric","eval_date"
"2006.1111",2006,111,1.008,"ind_itdrptd",2016-03-31
"2007.1111",2007,111,1.009,"ind_itdrptd",2017-03-31
"2008.1111",2008,111,1.008,"ind_itdrptd",2018-03-31
"2009.1111",2009,111,1.01,"ind_itdrptd",2019-03-31
"1999.1231",1999,123,1.004,"ind_itdrptd",2010-03-31
"2000.1231",2000,123,1.004,"ind_itdrptd",2011-03-31
"2001.1231",2001,123,1.007,"ind_itdrptd",2012-03-31
"2002.1231",2002,123,1.006,"ind_itdrptd",2013-03-31
"2003.1231",2003,123,1.008,"ind_itdrptd",2014-03-31
"2004.1231",2004,123,1.007,"ind_itdrptd",2015-03-31
"2005.1231",2005,123,1.005,"ind_itdrptd",2016-03-31
"2006.1231",2006,123,1.008,"ind_itdrptd",2017-03-31
"2007.1231",2007,123,1.003,"ind_itdrptd",2018-03-31
"2008.1231",2008,123,1.007,"ind_itdrptd",2019-03-31
"1998.1351",1998,135,1.002,"ind_itdrptd",2010-03-31
"1999.1351",1999,135,1.002,"ind_itdrptd",2011-03-31
"2000.1351",2000,135,1.004,"ind_itdrptd",2012-03-31
"2001.1351",2001,135,1.005,"ind_itdrptd",2013-03-31
"2002.1351",2002,135,1.005,"ind_itdrptd",2014-03-31
"2003.1351",2003,135,1.008,"ind_itdrptd",2015-03-31
"2004.1351",2004,135,1.006,"ind_itdrptd",2016-03-31
"2005.1351",2005,135,1.006,"ind_itdrptd",2017-03-31
"2006.1351",2006,135,1.005,"ind_itdrptd",2018-03-31
"2007.1351",2007,135,1.009,"ind_itdrptd",2019-03-31
"1997.1471",1997,147,1.002,"ind_itdrptd",2010-03-31
"1998.1471",1998,147,1.004,"ind_itdrptd",2011-03-31
"1999.1471",1999,147,1.004,"ind_itdrptd",2012-03-31
"2000.1471",2000,147,1.003,"ind_itdrptd",2013-03-31
"2001.1471",2001,147,1.005,"ind_itdrptd",2014-03-31
"2002.1471",2002,147,1.002,"ind_itdrptd",2015-03-31
"2003.1471",2003,147,1.002,"ind_itdrptd",2016-03-31
"2004.1471",2004,147,1.003,"ind_itdrptd",2017-03-31
"2005.1471",2005,147,1.004,"ind_itdrptd",2018-03-31
"2006.1471",2006,147,1.002,"ind_itdrptd",2019-03-31
