"","ay","age","amount","metric","eval_date"
"1987.363",1987,363,1503270258,"ind_itdpaid",03/31/2017
"1988.363",1988,363,1701689111,"ind_itdpaid",03/31/2018
"1986.375",1986,375,1381239399,"ind_itdpaid",03/31/2017
"1987.375",1987,375,1504773528,"ind_itdpaid",03/31/2018
"1986.389",1986,389,1382620638,"ind_itdpaid",05/31/2018
"2007.151",2007,15,1107793947,"ind_itdrptd",03/31/2008
"2008.151",2008,15,1089856815,"ind_itdrptd",03/31/2009
"2009.151",2009,15,1018711996,"ind_itdrptd",03/31/2010
"2010.151",2010,15,1045943813,"ind_itdrptd",03/31/2011
"2011.151",2011,15,1089134726,"ind_itdrptd",03/31/2012
"2012.151",2012,15,1140992025,"ind_itdrptd",03/31/2013
"2013.151",2013,15,1257034770,"ind_itdrptd",03/31/2014
"2014.151",2014,15,1313934196,"ind_itdrptd",03/31/2015
"2015.151",2015,15,1425363905,"ind_itdrptd",03/31/2016
"2016.151",2016,15,1463075416,"ind_itdrptd",03/31/2017
"2017.151",2017,15,892620446,"ind_itdrptd",03/31/2018
"2006.271",2006,27,1760361499,"ind_itdrptd",03/31/2008
"2007.271",2007,27,1730374145,"ind_itdrptd",03/31/2009
"2008.271",2008,27,1763388327,"ind_itdrptd",03/31/2010
"2009.271",2009,27,1701249033,"ind_itdrptd",03/31/2011
"2010.271",2010,27,1741496448,"ind_itdrptd",03/31/2012
"2011.271",2011,27,1804696240,"ind_itdrptd",03/31/2013
"2012.271",2012,27,1896328745,"ind_itdrptd",03/31/2014
"2013.271",2013,27,2016283771,"ind_itdrptd",03/31/2015
"2014.271",2014,27,2135143068,"ind_itdrptd",03/31/2016
"2015.271",2015,27,2323343165,"ind_itdrptd",03/31/2017
"2016.271",2016,27,2351162193,"ind_itdrptd",03/31/2018
"2005.391",2005,39,1934389142,"ind_itdrptd",03/31/2008
"2006.391",2006,39,1968084156,"ind_itdrptd",03/31/2009
"2007.391",2007,39,2104134960,"ind_itdrptd",03/31/2010
"2008.391",2008,39,2195418467,"ind_itdrptd",03/31/2011
"2009.391",2009,39,2097640057,"ind_itdrptd",03/31/2012
"2010.391",2010,39,2176870560,"ind_itdrptd",03/31/2013
"2011.391",2011,39,2210752894,"ind_itdrptd",03/31/2014
"2012.391",2012,39,2309728412,"ind_itdrptd",03/31/2015
"2013.391",2013,39,2421556808,"ind_itdrptd",03/31/2016
"2014.391",2014,39,2613415116,"ind_itdrptd",03/31/2017
"2015.391",2015,39,2778718425,"ind_itdrptd",03/31/2018
